ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Height,Weight,release_c,Age_Group
1179,g. buffon,40,italy,88,88,paris saint-germain,4000.0,77,right,4.0,1.0,gk,2018,6.333333333,203.0,7400.0,более 36
5479,casillas,37,spain,82,82,fc porto,1500.0,10,left,4.0,1.0,,2015,6.083333333,185.0,3000.0,более 36
8205,braga,35,portugal,70,70,cd aves,750.0,5,right,1.0,3.0,lcm,2017,5.916666667,165.0,1600.0,30-36
9014,a. robben,34,netherlands,84,84,fc bayern münchen,15500.0,110,left,4.0,4.0,rm,2009,5.916666667,176.0,25600.0,30-36
19521,j. ibehre,35,england,61,61,cambridge united,120.0,2,right,1.0,2.0,st,2017,6.333333333,203.0,210.0,30-36
20209,ricardo costa,37,portugal,74,74,cd tondela,750.0,4,right,2.0,2.0,lcb,2017,6.0,181.0,1600.0,более 36
20801,cristiano ronaldo,33,portugal,94,94,juventus,77000.0,405,right,5.0,5.0,st,2018,6.166666667,183.0,127100.0,30-36
24630,pepe reina,35,spain,83,83,milan,6000.0,56,right,3.0,1.0,gk,2018,6.166666667,203.0,10200.0,30-36
27532,d. de vries,37,netherlands,66,66,celtic,40.0,7,right,1.0,1.0,gk,2016,6.25,212.0,72.0,более 36
45083,s. von bergen,35,switzerland,73,73,bsc young boys,950.0,12,right,2.0,2.0,lcb,2013,6.0,174.0,1400.0,30-36
46175,m. rosenberg,35,sweden,73,73,malmö ff,1800.0,6,right,1.0,3.0,rs,2014,6.0,179.0,2400.0,30-36
47201,s. proto,35,belgium,76,76,lazio,1800.0,20,right,2.0,1.0,gk,2018,6.0,163.0,3100.0,30-36
48940,p. čech,36,czech republic,82,82,arsenal,3000.0,60,left,4.0,1.0,,2015,6.416666667,198.0,5700.0,30-36
52498,m. lehmann,35,germany,72,72,1. fc köln,725.0,10,right,2.0,2.0,cdm,2012,5.833333333,165.0,1100.0,30-36
52679,j. murphy,36,republic of ireland,62,62,bury,40.0,1,left,1.0,1.0,gk,2017,6.166666667,194.0,70.0,30-36
53110,c. gordon,35,scotland,74,74,celtic,1300.0,20,left,2.0,1.0,gk,2014,6.333333333,183.0,2400.0,30-36
53302,d. de rossi,34,italy,83,83,roma,8000.0,80,right,3.0,2.0,rdm,2002,6.0,183.0,13600.0,30-36
53363,a. collin,33,england,62,62,carlisle united,150.0,2,right,1.0,1.0,gk,2018,6.25,172.0,263.0,30-36
